orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation	is_tf	is_kinases	is_virulence_gene	order_peaktime	scer_orthologs	scer_ortholog_descriptions
CNAG_03483	GET1	J9VR09	protein GET1	Protein GET1 (Guided entry of tail-anchored proteins 1)	protein GET1	GET1_CRYNJ|Protein GET1 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=GET1 PE=3 SV=1					GET1	Golgi to ER traffic protein 1 (Guided entry of tail-anchored proteins 1) (Mitochondrial distribution and morphology protein 39)
CNAG_03484			kinetochore protein Mis13/DSN1	Kinetochore protein Mis13/DSN1	kinetochore protein Mis13/DSN1	MIS13_SCHPO|Kinetochore protein mis13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=mis13 PE=1 SV=1				433		
CNAG_03485			polyamine transporter 1	Polyamine transporter 1	polyamine transporter 1	MDRA_ASPFU|Major facilitator superfamily multidrug transporter mdrA OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=mdrA PE=2 SV=1					TPO1	Polyamine transporter 1
CNAG_03486			peptidyl-prolyl cis-trans isomerase B	Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8)	peptidyl-prolyl cis-trans isomerase B	PPIB_CRYNB|Peptidyl-prolyl cis-trans isomerase B OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CPR2 PE=3 SV=1					CPR2; CPR5	Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Cyclophilin-related protein) (Rotamase B); Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (Cyclophilin D) (Rotamase D)
CNAG_03487			DNAJ domain-containing protein	DNAJ domain-containing protein	DnaJ domain-containing protein	YL39_SCHPO|Uncharacterized J domain-containing protein C1071.09c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC1071.09c PE=3 SV=1				936		
CNAG_03488	RRA1		hypothetical protein	Uncharacterized protein	Required for Rim101 Activation 1							
CNAG_03489			RNA recognition domain-containing protein (RRM)-containing protein	RNA recognition domain-containing protein (RRM)-containing protein	RNA recognition domain-containing protein (RRM)- containing protein	YDB2_SCHPO|Uncharacterized RNA-binding protein C22E12.02 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC22E12.02 PE=4 SV=1						
CNAG_03490			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03491			cleavage and polyadenylation specificity factor subunit 5	Cleavage and polyadenylation specificity factor subunit 5	cleavage and polyadenylation specificity factor subunit 5	CFIS2_ARATH|Pre-mRNA cleavage factor Im 25 kDa subunit 2 OS=Arabidopsis thaliana OX=3702 GN=CFIS2 PE=1 SV=1						
CNAG_03492			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03493			1-alkyl-2-acetylglycerophosphocholine esterase	Putative phospholipase (EC 3.1.1.47)	1-alkyl-2-acetylglycerophosphocholine esterase	PAFA_CANLF|Platelet-activating factor acetylhydrolase OS=Canis lupus familiaris OX=9615 GN=PLA2G7 PE=2 SV=1						
CNAG_03494			hypothetical protein	Uncharacterized protein	hypothetical protein	HNRPU_MOUSE|Heterogeneous nuclear ribonucleoprotein U OS=Mus musculus OX=10090 GN=Hnrnpu PE=1 SV=1						
CNAG_03495			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03496			hypothetical protein	Uncharacterized protein	hypothetical protein	BIT61_SCHPO|Target of rapamycin complex 2 subunit bit61 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bit61 PE=1 SV=1						
CNAG_03497			BET3 family protein	Trafficking protein particle complex subunit BET3	BET3 family protein	BET3_SCHPO|Transport protein particle subunit bet3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=bet3 PE=3 SV=1					BET3	Trafficking protein particle complex subunit BET3 (TRAPP subunit BET3) (Transport protein particle 22 kDa subunit)
CNAG_03499			twin-arginine translocation pathway signal peptide	Twin-arginine translocation pathway signal peptide	twin-arginine translocation pathway signal peptide	ICP55_SCHPO|Intermediate cleaving peptidase 55 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=icp55 PE=3 SV=2					; ICP55	Uncharacterized peptidase YFR006W (EC 3.4.-.-); Intermediate cleaving peptidase 55 (EC 3.4.11.26) (Intermediate cleaving peptidase of 55 kDa)
CNAG_03500			osmosensor	Osmosensor	osmosensor					621		
CNAG_03502	ALR2		magnesium transporter	Magnesium transporter	magnesium transporter	YF2E_SCHPO|Putative metal ion transporter C17A12.14 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC17A2.14 PE=1 SV=4					ALR2; MNR2	Magnesium transporter ALR2 (Aluminum resistance protein 2); Manganese resistance protein MNR2
CNAG_03504			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03507			mitochondrial-processing peptidase subunit beta	Mitochondrial-processing peptidase subunit beta	mitochondrial-processing peptidase subunit beta	MPPB_LENED|Mitochondrial-processing peptidase subunit beta OS=Lentinula edodes OX=5353 GN=mppB PE=3 SV=1					MAS1	Mitochondrial-processing peptidase subunit beta (EC 3.4.24.64) (Beta-MPP) (PEP)
CNAG_03508			hypothetical protein	Protein YIP	hypothetical protein	YIPF5_DICDI|Protein YIPF5 homolog OS=Dictyostelium discoideum OX=44689 GN=yipf5 PE=3 SV=1					YIP1	Protein transport protein YIP1 (YPT-interacting protein 1)
CNAG_03509			pyruvate dehydrogenase X component	Pyruvate dehydrogenase X component	pyruvate dehydrogenase X component	ODPX_YEAST|Pyruvate dehydrogenase complex protein X component, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDX1 PE=1 SV=1					PDX1	Pyruvate dehydrogenase complex protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (Pyruvate dehydrogenase complex component E3BP)
CNAG_03510			large subunit ribosomal protein L36e	60S ribosomal protein L36	large subunit ribosomal protein L36e	RL36A_SCHPO60|S ribosomal protein L36-A OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpl3601 PE=3 SV=2					RPL36A; RPL36B	60S ribosomal protein L36-A (L39) (Large ribosomal subunit protein eL36-A) (YL39); 60S ribosomal protein L36-B (L39) (Large ribosomal subunit protein eL36-B) (YL39)
CNAG_03511			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03512			hypothetical protein	Uncharacterized protein	hypothetical protein					215		Uncharacterized protein YDL183C
CNAG_03513			ribosomal RNA-processing protein 7	Ribosomal RNA-processing protein 7	ribosomal RNA-processing protein 7						RRP7	Ribosomal RNA-processing protein 7
CNAG_03516			hypothetical protein	Uncharacterized protein	hypothetical protein					286		
CNAG_03517			NADH dehydrogenase	NADH dehydrogenase	NADH dehydrogenase	NDB1_SOLTU|External alternative NAD(P)H-ubiquinone oxidoreductase B1, mitochondrial OS=Solanum tuberosum OX=4113 GN=NDB1 PE=1 SV=1					NDE1; NDE2; NDI1	External NADH-ubiquinone oxidoreductase 1, mitochondrial (EC 1.6.5.9) (External NADH dehydrogenase 1); External NADH-ubiquinone oxidoreductase 2, mitochondrial (EC 1.6.5.9) (External NADH dehydrogenase 2); Rotenone-insensitive NADH-ubiquinone oxidoreductase, mitochondrial (EC 1.6.5.9) (Internal NADH dehydrogenase) (NADH:ubiquinone reductase (non-electrogenic))
CNAG_03518	PAD1	J9VR44	phenylacrylic acid decarboxylase	Flavin prenyltransferase PAD1, mitochondrial (EC 2.5.1.129)	Phenylacrylic acid decarboxylase	PAD1_YEAST|Flavin prenyltransferase PAD1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PAD1 PE=1 SV=2					PAD1	Flavin prenyltransferase PAD1, mitochondrial (EC 2.5.1.129) (Phenylacrylic acid decarboxylase 1) (PAD)
CNAG_03519	FDC1	T2BN40	cytoplasmic protein	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)	cytoplasmic protein, cytoplasmic protein, variant 1, cytoplasmic protein, variant 2	FDC1_ASPNC|Ferulic acid decarboxylase 1 OS=Aspergillus niger (strain CBS 513.88 / FGSC A1513) OX=425011 GN=fdc1 PE=1 SV=1					FDC1	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
CNAG_03519	FDC1	T2BN22	cytoplasmic protein	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)	cytoplasmic protein, cytoplasmic protein, variant 1, cytoplasmic protein, variant 2	FDC1_ASPNC|Ferulic acid decarboxylase 1 OS=Aspergillus niger (strain CBS 513.88 / FGSC A1513) OX=425011 GN=fdc1 PE=1 SV=1					FDC1	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
CNAG_03519	FDC1	J9VVU7	cytoplasmic protein	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)	cytoplasmic protein, cytoplasmic protein, variant 1, cytoplasmic protein, variant 2	FDC1_ASPNC|Ferulic acid decarboxylase 1 OS=Aspergillus niger (strain CBS 513.88 / FGSC A1513) OX=425011 GN=fdc1 PE=1 SV=1					FDC1	Ferulic acid decarboxylase 1 (EC 4.1.1.102) (Phenacrylate decarboxylase)
CNAG_03520			hypothetical protein	Uncharacterized protein	hypothetical protein	YU204_USTMA|Uncharacterized hydrolase UM10204 OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=UMAG_10204 PE=3 SV=1				722		
CNAG_03521			DNA-directed RNA polymerase III subunit RPC10	DNA-directed RNA polymerase subunit	DNA-directed RNA polymerase III subunit RPC10	RPC10_HUMANDN|A-directed RNA polymerase III subunit RPC10 OS=Homo sapiens OX=9606 GN=POLR3K PE=1 SV=2					RPC11	DNA-directed RNA polymerase III subunit RPC10 (RNA polymerase III subunit C10) (DNA-directed RNA polymerases III 12.5 kDa polypeptide) (RNA polymerase III subunit C11)
CNAG_03522			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03523			solute carrier family 25, member 38	Mitochondrial glycine transporter (Solute carrier family 25 member 38 homolog)	solute carrier family 25, member 38, solute carrier family 25, member 38, variant	S2538_USTMA|Mitochondrial glycine transporter OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=UMAG_10880 PE=3 SV=2				317	HEM25	Mitochondrial glycine transporter (Heme biosynthesis protein of SLC25 family) (Solute carrier family 25 member 38 homolog)
CNAG_03524			transmembrane receptor	Transmembrane receptor	transmembrane receptor	WSCD1_ARTBCWS|C domain-containing protein ARB_07867 OS=Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371) OX=663331 GN=ARB_07867 PE=1 SV=1						
CNAG_03525			alpha,alpha-trehalase	Trehalase (EC 3.2.1.28) (Alpha-trehalose glucohydrolase)	alpha,alpha-trehalase	TREA_DICDI|Trehalase OS=Dictyostelium discoideum OX=44689 GN=treh PE=3 SV=1				1018	NTH1; NTH2	Neutral trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase); Probable trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)
CNAG_03526			chromosome transmission fidelity protein 8	Chromosome transmission fidelity protein 8	chromosome transmission fidelity protein 8					942		
CNAG_03527			cytoplasmic protein	Cytoplasmic protein	cytoplasmic protein	HEL2_SCHPO|E3 ubiquitin-protein ligase hel2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC1223.01 PE=1 SV=2	TRUE				HEL2	E3 ubiquitin-protein ligase HEL2 (EC 2.3.2.27) (Histone E3 ligase 2) (RING-type E3 ubiquitin transferase HEL2)
CNAG_03528			AP-2 complex subunit alpha	AP-2 complex subunit alpha	AP-2 complex subunit alpha	AP2A2_BOVINA|P-2 complex subunit alpha-2 OS=Bos taurus OX=9913 GN=AP2A2 PE=1 SV=1					APL3	AP-2 complex subunit alpha (Alpha-adaptin) (Clathrin assembly protein complex 2 alpha large chain) (Clathrin assembly protein large alpha chain)
CNAG_03531			3-beta hydroxysteroid dehydrogenase/isomerase	3-beta hydroxysteroid dehydrogenase/isomerase	3-beta hydroxysteroid dehydrogenase/isomerase	Y1223_SYNY3|Epimerase family protein slr1223 OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=slr1223 PE=3 SV=2						
CNAG_03532			3-beta hydroxysteroid dehydrogenase/isomerase	3-beta hydroxysteroid dehydrogenase/isomerase	3-beta hydroxysteroid dehydrogenase/isomerase	GALE_CORDIUD|P-glucose 4-epimerase OS=Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis) OX=257309 GN=galE PE=3 SV=2						Uncharacterized protein YLL056C
CNAG_03533			JmjC domain-containing histone demethylation protein 1	JmjC domain-containing histone demethylation protein 1	JmjC domain-containing histone demethylation protein 1	JHD1_CRYNJ|JmjC domain-containing histone demethylation protein 1 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=JHD1 PE=3 SV=1					JHD1	JmjC domain-containing histone demethylation protein 1 (EC 1.14.11.27) (Jumonji/ARID domain-containing protein 1) (ScJHDM1) ([Histone-H3]-lysine-36 demethylase 1)
CNAG_03534			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant							
CNAG_03538			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03539			hypothetical protein	Uncharacterized protein	hypothetical protein	YGM4_SCHPOHM|G box-containing protein C19G7.04 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC19G7.04 PE=4 SV=2						
CNAG_03540			aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-)	aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, B subunit	GATB_CRYNJ|Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=CNG00570 PE=3 SV=1					PET112	Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial (Glu-AdT subunit B) (EC 6.3.5.-) (Cytochrome c oxidase assembly factor PET112)
CNAG_03541			hypothetical protein	Uncharacterized protein	hypothetical protein	PPTC7_DANRE|Protein phosphatase PTC7 homolog OS=Danio rerio OX=7955 GN=pptc7 PE=2 SV=1					PTC7	Protein phosphatase 2C homolog 7, mitochondrial (PP2C-7) (EC 3.1.3.16)
CNAG_03542			arginase	Arginase (EC 3.5.3.1)	Arginase	ARGI_NEUCR|Arginase OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=aga-1 PE=1 SV=3					CAR1	Arginase (EC 3.5.3.1)
CNAG_03543			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	YOF7_SCHPO|Uncharacterized RING finger protein P4H10.07 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBP4H10.07 PE=1 SV=1						
CNAG_03544			hypothetical protein	Uncharacterized protein	hypothetical protein	NUXM_NEUCRNAD|H-ubiquinone oxidoreductase 20.9 kDa subunit OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=nuo20.9 PE=1 SV=1						
CNAG_03545			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2					1030		
CNAG_03546			hypothetical protein	Uncharacterized protein	hypothetical protein	RECQ_SYNY3AT|P-dependent DNA helicase RecQ OS=Synechocystis sp. (strain PCC 6803 / Kazusa) OX=1111708 GN=recQ PE=3 SV=1						
CNAG_03547			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03548			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03550			zinc finger HIT domain-containing protein 1	Zinc finger HIT domain-containing protein 1	zinc finger HIT domain-containing protein 1							
CNAG_03551			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant							
CNAG_03552			hypothetical protein	Uncharacterized protein	hypothetical protein	TRY3_CANAL|Transcriptional regulator of yeast form adherence 3 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=TRY3 PE=2 SV=2						
CNAG_03553			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03554			coatomer protein complex, subunit alpha (xenin)	Coatomer subunit alpha	coatomer protein complex, subunit alpha (xenin)	COPA_HUMAN|Coatomer subunit alpha OS=Homo sapiens OX=9606 GN=COPA PE=1 SV=2					COP1	Coatomer subunit alpha (Alpha-coat protein) (Alpha-COP) (Retrieval from endoplasmic reticulum protein 1) (Secretory protein 22) (Suppressor of osmo-sensitivity 1)
CNAG_03555			acylglycerone-phosphate reductase	Acylglycerone-phosphate reductase	acylglycerone-phosphate reductase	BOA17_BOTFB|Oxidoreductase BOA17 OS=Botryotinia fuckeliana (strain B05.10) OX=332648 GN=BOA17 PE=2 SV=1					AYR1	NADPH-dependent 1-acyldihydroxyacetone phosphate reductase (ADR) (EC 1.1.1.101) (1-acyl DHAP reductase) (Acyl/alkyl DHAP reductase) (Acylglycerone-phosphate reductase)
CNAG_03556			dimethylaniline monooxygenase	Dimethylaniline monooxygenase	dimethylaniline monooxygenase	FMO1_RABIT|Dimethylaniline monooxygenase						
CNAG_03557			transcription initiation factor TFIIA small subunit	Transcription initiation factor IIA subunit 2	transcription initiation factor TFIIA small subunit	T2AG_CRYNB|Transcription initiation factor IIA subunit 2 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=TOA2 PE=3 SV=1					TOA2	Transcription initiation factor IIA subunit 2 (General transcription factor IIA subunit 2) (TFIIA 13.5 kDa subunit) (Transcription initiation factor IIA small chain) (Transcription initiation factor IIA small subunit)
CNAG_03558			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03559			allantoate permease	Allantoate permease	allantoate permease	YGDF_SCHPO|Uncharacterized transporter C1773.15 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC1773.15 PE=3 SV=1						
CNAG_03560			hypothetical protein	Carboxylic ester hydrolase (EC 3.1.1.-)	hypothetical protein	D2_DICD|IcAMP-regulated D2 protein OS=Dictyostelium discoideum OX=44689 GN=D2 PE=2 SV=3						
CNAG_03561			hypothetical protein	Uncharacterized protein	hypothetical protein		TRUE					
CNAG_03562			D-amino-acid oxidase	D-amino-acid oxidase	D-amino-acid oxidase	OXDA_RHOTO|D-amino-acid oxidase OS=Rhodosporidium toruloides OX=5286 GN=DAO1 PE=1 SV=1						
CNAG_03563			aspartate-tRNA(Asn) ligase	Aspartate-tRNA(Asn) ligase	aspartate-tRNA(Asn) ligase	SYDC_BOVIN|Aspartate--tRNA ligase, cytoplasmic OS=Bos taurus OX=9913 GN=DARS PE=2 SV=1					DPS1	Aspartate--tRNA ligase, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)
CNAG_03564			hypothetical protein	Uncharacterized protein	hypothetical protein	LIP2_MORS1|Lipase 2 OS=Moraxella sp. (strain TA144) OX=77152 GN=lip2 PE=1 SV=1				1052		
CNAG_03565			plasma-membrane proton-efflux P-type ATPase	Plasma membrane ATPase (EC 7.1.2.1)	plasma-membrane proton-efflux P-type ATPase	PMA2_SCHPO|Plasma membrane ATPase 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pma2 PE=3 SV=1					PMA1; PMA2	Plasma membrane ATPase 1 (EC 7.1.2.1) (Proton pump 1); Plasma membrane ATPase 2 (EC 7.1.2.1) (Proton pump 2)
CNAG_03566			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03567	CBK1		AGC/NDR/NDR protein kinase	AGC/NDR/NDR protein kinase	AGC/NDR/NDR protein kinase	CBK1_PNECA|Serine/threonine-protein kinase CBK1 OS=Pneumocystis carinii OX=4754 GN=CBK1 PE=2 SV=1		TRUE			CBK1	Serine/threonine-protein kinase CBK1 (EC 2.7.11.1) (Cell wall biosynthesis kinase)
CNAG_03569			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03570			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03572	OPS1		opsin 1	Opsin 1	opsin 1						HSP30; MRH1; YRO2	30 kDa heat shock protein; Protein MRH1 (Membrane protein related to HSP30); Protein YRO2
CNAG_03573			kynurenine 3-monooxygenase	Kynurenine 3-monooxygenase	kynurenine 3-monooxygenase	6HN3M_PSEF|L6-hydroxynicotinate 3-monooxygenase OS=Pseudomonas fluorescens OX=294 PE=1 SV=1						
CNAG_03575			alpha-L-rhamnosidase	Alpha-L-rhamnosidase	alpha-L-rhamnosidase							
CNAG_03576			cytochrome C assembly protein	Cytochrome C assembly protein	cytochrome C assembly protein							
CNAG_03577			large subunit ribosomal protein LP0	60S acidic ribosomal protein P0	large subunit ribosomal protein LP0	RLA0_PODAS60|S acidic ribosomal protein P0 OS=Podospora anserina OX=5145 PE=3 SV=1					RPP0	60S acidic ribosomal protein P0 (A0) (L10e) (Large ribosomal subunit protein uL10)
CNAG_03578			hypothetical protein	Uncharacterized protein	hypothetical protein							
CNAG_03582	RIM20		pH-response regulator protein palA/RIM20	pH-response regulator protein palA/RIM20	pH-response regulator protein palA/RIM20	PALA_CRYN|BpH-response regulator protein palA/RIM20 OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=RIM20 PE=3 SV=1					RIM20	pH-response regulator protein palA/RIM20 (Regulator of IME2 protein 20)
CNAG_03583			hypothetical protein	Histone acetyltransferase (EC 2.3.1.48)	hypothetical protein	KAT6B_MOUSE|Histone acetyltransferase KAT6B OS=Mus musculus OX=10090 GN=Kat6b PE=1 SV=3				809		
CNAG_03584			Prp8 binding protein	Prp8 binding protein	Prp8 binding protein	SNR40_BOVIN|U5 small nuclear ribonucleoprotein 40 kDa protein OS=Bos taurus OX=9913 GN=SNRNP40 PE=2 SV=1						
CNAG_03586			hypothetical protein	Uncharacterized protein	hypothetical protein					532		
CNAG_03587			hypothetical protein	Uncharacterized protein	hypothetical protein	RIC1_DROME|Guanine nucleotide exchange factor subunit Rich OS=Drosophila melanogaster OX=7227 GN=Rich PE=1 SV=1				631		
CNAG_03588	LYS2		L-aminoadipate-semialdehyde dehydrogenase	L-aminoadipate-semialdehyde dehydrogenase	L-aminoadipate-semialdehyde dehydrogenase	LYS2_SCHPO|L-2-aminoadipate reductase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=lys1 PE=1 SV=3					LYS2	L-2-aminoadipate reductase (EC 1.2.1.31) (EC 1.2.1.95) (Alpha-aminoadipate reductase) (Alpha-AR) (L-aminoadipate-semialdehyde dehydrogenase)
CNAG_03589			adrenodoxin-type ferredoxin	Adrenodoxin-type ferredoxin	adrenodoxin-type ferredoxin	ADRX_YEAST|Adrenodoxin homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YAH1 PE=1 SV=1					YAH1	Adrenodoxin homolog, mitochondrial (Mitochondrial ferredoxin)
CNAG_03590	CKB1		casein kinase II subunit beta	Casein kinase II subunit beta (CK II beta)	casein kinase II subunit beta	CSK2B_NEUCR|Casein kinase II subunit beta-1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=ckb-1 PE=2 SV=1					CKB1; CKB2	Casein kinase II subunit beta (CK II beta); Casein kinase II subunit beta' (CK II beta')
CNAG_03591			RAB GDP-dissociation inhibitor	Rab GDP dissociation inhibitor	rab GDP-dissociation inhibitor	GDI1_SCHPO|Probable secretory pathway GDP dissociation inhibitor 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=gdi1 PE=3 SV=1					GDI1	Rab GDP-dissociation inhibitor (Rab GDI) (Secretory pathway GDP dissociation inhibitor)
CNAG_03592			phosphomethylpyrimidine kinase	Phosphomethylpyrimidine kinase	phosphomethylpyrimidine kinase	THI22_SCHPO|Putative hydroxymethylpyrimidine/phosphomethylpyrimidine kinase 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBP8B7.18c PE=3 SV=1		TRUE		153	THI20; THI21; THI22	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI20 (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase); Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase THI21 (EC 2.7.1.49) (EC 2.7.4.7) (Hydroxymethylpyrimidine kinase) (HMP kinase) (Hydroxymethylpyrimidine phosphate kinase) (HMP-P kinase) (HMP-phosphate kinase) (HMPP kinase); Thiamine biosynthesis protein THI22
CNAG_03595			hypothetical protein	Uncharacterized protein	hypothetical protein	CSCL2_ARATHCS|C1-like protein At4g02900 OS=Arabidopsis thaliana OX=3702 GN=At4g02900 PE=3 SV=1				834	PHM7; RSN1	Phosphate metabolism protein 7; Uncharacterized protein RSN1 (Rescuer of SRO7 at high Nacl protein 1)
CNAG_03596			2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	2-oxoglutarate dehydrogenase E2 component (Dihydrolipoamide succinyltransferase)	2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase)	ODO2_YEAST|Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=KGD2 PE=1 SV=2					KGD2	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)
CNAG_03597			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	CSCL7_ARATHCS|C1-like protein At1g11960 OS=Arabidopsis thaliana OX=3702 GN=At1g11960 PE=2 SV=1						
CNAG_03598			ubiquilin	Ubiquilin	Ubiquitin	DSK2_SCHPO|Deubiquitination-protection protein dph1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=dph1 PE=4 SV=1					DSK2	Ubiquitin domain-containing protein DSK2
CNAG_03599			mandelate racemase/muconate lactonizing enzyme	Mandelate racemase/muconate lactonizing enzyme	mandelate racemase/muconate lactonizing enzyme	LGD1_HYPJE|L-galactonate dehydratase OS=Hypocrea jecorina OX=51453 GN=lgd1 PE=1 SV=1						
CNAG_03600	STE6		ATP-binding cassette, subfamily B (MDR/TAP), member 1	ATP-binding cassette, subfamily B (MDR/TAP), member 1	ATP-binding cassette, subfamily B (MDR/TAP), member 1	STE6_YEAST|Alpha-factor-transporting ATPase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=STE6 PE=1 SV=1					STE6	Alpha-factor-transporting ATPase (EC 7.4.2.7) (Mating factor A secretion protein STE6) (Multiple drug resistance protein homolog) (P-glycoprotein)
