oln_id	scer_gene_name	sgd_description	scer_uniprot_description	uniprot_acc	is_tf	is_kinases	peak_time	cneo_orthologs	cneo_ortholog_descriptions
									
YOL016C	CMK2	Calmodulin-dependent protein kinase; may play a role in stress response, many CA++/calmodulan dependent phosphorylation substrates demonstrated in vitro, amino acid sequence similar to mammalian Cam Kinase II; CMK2 has a paralog, CMK1, that arose from the whole genome duplication	Calcium/calmodulin-dependent protein kinase II (EC 2.7.11.17)	P22517		TRUE			
									
YOL015W	IRC10	Protein of unknown function; subunit of the leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms a ring-like structure at the leading edge of the prospore membrane during meiosis II; null mutant displays increased levels of spontaneous Rad52p foci	Uncharacterized protein IRC10 (Increased recombination centers protein 10)	Q08118					
									
YOL014W		Putative protein of unknown function; mCherry fusion protein localizes to the cytosol and nucleus	Putative uncharacterized protein YOL014W	Q08110			75		
									
YOL013W-B		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps the long terminal repeat (LTR) of a Ty1 element							
									
YOLCdelta8		Ty1 LTR							
YOL013W-A		Putative protein of unknown function; identified by SAGE	Uncharacterized protein YOL013W-A	P0C272					
									
tP(UGG)O1		Proline tRNA (tRNA-Pro), predicted by tRNAscan-SE analysis; target of K. lactis zymocin							
									
									
									
YOL013C	HRD1	Ubiquitin-protein ligase involved in ER-associated degradation (ERAD) of misfolded proteins; upon autoubiquitination triggers retrotranslocation of misfolded proteins to cytosol for degradation; genetically linked to the unfolded protein response (UPR); regulated through association with Hrd3p; contains an H2 ring finger; likely plays a general role in targeting proteins that persistently associate with and potentially obstruct the ER-localized translocon	ERAD-associated E3 ubiquitin-protein ligase HRD1 (EC 2.3.2.27) (HMG-CoA reductase degradation protein 1) (RING-type E3 ubiquitin transferase HRD1)	Q08109					
									
YOL012C	HTZ1	Histone variant H2AZ; exchanged for histone H2A in nucleosomes by the SWR1 complex; involved in transcriptional regulation through prevention of the spread of silent heterochromatin; Htz1p-containing nucleosomes facilitate RNA Pol II passage by affecting correct assembly and modification status of RNA Pol II elongation complexes and by favoring efficient nucleosome remodeling	Histone H2A.Z	Q12692			52		
									
YOL011W	PLB3	Phospholipase B (lysophospholipase) involved in lipid metabolism; hydrolyzes phosphatidylinositol and phosphatidylserine and displays transacylase activity in vitro; PLB3 has a paralog, PLB1, that arose from the whole genome duplication	Lysophospholipase 3 (EC 3.1.1.5) (Phospholipase B 3)	Q08108			2		
									
YOL010W	RCL1	Endonuclease that cleaves pre-rRNA at site A2 for 18S rRNA biogenesis; subunit of U3-containing 90S preribosome processome complex involved in small ribosomal subunit assembly; stimulates Bms1p GTPase and U3 binding activity; similar to RNA cyclase-like proteins but no cyclase activity detected	RNA 3'-terminal phosphate cyclase-like protein	Q08096					
									
ARS1512		Replication origin; identified in multiple array studies, confirmed by plasmid-based recombinational ARS assay							
YOL009C	MDM12	Mitochondrial outer membrane protein, ERMES complex subunit; required for transmission of mitochondria to daughter cells; required for mitophagy; may influence import and assembly of outer membrane beta-barrel proteins; ERMES complex is often co-localized with peroxisomes and with concentrated areas of pyruvate dehydrogenase	Mitochondrial distribution and morphology protein 12 (Mitochondrial inheritance component MDM12)	Q92328					
									
YOL008W	COQ10	Coenzyme Q (ubiquinone) binding protein; functions in the delivery of Q<sub>6</sub> to its proper location for electron transport during respiration; START domain protein with homologs in bacteria and eukaryotes; respiratory growth defect of the null mutant is functionally complemented by human COQ10A	Coenzyme Q-binding protein COQ10, mitochondrial	Q08058					
									
YOL007C	CSI2	Protein of unknown function; green fluorescent protein (GFP)- fusion protein localizes to the mother side of the bud neck and the vacuole; YOL007C is not an essential gene	Chitin synthase 3 complex protein CSI2	Q08054			21		
									
YOL006C	TOP1	Topoisomerase I; nuclear enzyme that relieves torsional strain in DNA by cleaving and re-sealing the phosphodiester backbone; relaxes both positively and negatively supercoiled DNA; functions in replication, transcription, and recombination; role in processing ribonucleoside monophosphates in genomic DNA into irreversible single-strand breaks; enzymatic activity and interaction with Nsr1p are negatively regulated by polyphosphorylation	DNA topoisomerase 1 (EC 5.99.1.2) (DNA topoisomerase I) (Maintenance of killer protein 1)	P04786			4		
									
YOL005C	RPB11	RNA polymerase II subunit B12.5; part of central core; similar to Rpc19p and bacterial alpha subunit	DNA-directed RNA polymerase II subunit RPB11 (RNA polymerase II subunit B11) (B13.6) (DNA-directed RNA polymerase II 13.6 kDa polypeptide)	P38902					
									
YOL004W	SIN3	Component of both the Rpd3S and Rpd3L histone deacetylase complexes; involved in transcriptional repression and activation of diverse processes, including mating-type switching and meiosis; involved in the maintenance of chromosomal integrity	Transcriptional regulatory protein SIN3	P22579					
									
YOL003C	PFA4	Palmitoyltransferase with autoacylation activity; required for palmitoylation of amino acid permeases containing a C-terminal Phe-Trp-Cys site; required for modification of Chs3p; member of the DHHC family of putative palmitoyltransferases	Palmitoyltransferase PFA4 (EC 2.3.1.225) (Protein S-acyltransferase) (PAT) (Protein fatty acyltransferase 4)	Q12006					
									
YOL002C	IZH2	Plasma membrane receptor for plant antifungal osmotin; involved in zinc ion homeostasis, apoptosis; negatively regulates ZRT1 and other functionally divergent genes through CCCTC promoter motif (IzRE); modulates FET3 activity in iron-independent manner; affects gene expression by influencing balance of competition between Msn2p/Msn4p and Nrg1p/Nrg2p for binding to IzRE; transcription regulated by Zap1p, zinc, fatty acid levels; homolog of mammalian adiponectin receptor	ADIPOR-like receptor IZH2 (Phosphate metabolism protein 36)	Q12442					
									
YOL001W	PHO80	Cyclin; interacts with cyclin-dependent kinase Pho85p; regulates the response to nutrient levels and environmental conditions, including the response to phosphate limitation and stress-dependent calcium signaling	PHO85 cyclin PHO80 (Aminoglycoside antibiotic sensitivity protein 3) (Phosphate system cyclin PHO80)	P20052					
									
CEN15	CEN15	Chromosome XV centromere							
									
									
									
YOR001W	RRP6	Nuclear exosome exonuclease component; has 3'-5' exonuclease activity that is regulated by Lrp1p; involved in RNA processing, maturation, surveillance, degradation, tethering, and export; role in sn/snoRNAs precursor degradation; forms a stable heterodimer with Lrp1p; has similarity to E. coli RNase D and to human PM-Sc1 100 (EXOSC10); mutant displays reduced transcription elongation in the G-less-based	Exosome complex exonuclease RRP6 (EC 3.1.13.-) (Ribosomal RNA-processing protein 6)	Q12149			79		
									
YOR002W	ALG6	Alpha 1,3 glucosyltransferase; involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; C998T transition in human ortholog ALG6 causes carbohydrate-deficient glycoprotein syndrome type-Ic; wild-type human ortholog ALG6 can partially complement yeast alg6 mutant	Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase (EC 2.4.1.267) (Asparagine-linked glycosylation protein 6) (Dol-P-Glc:Man(9)GlcNAc(2)-PP-Dol alpha-1,3-glucosyltransferase) (Dolichyl-P-Glc:Man9GlcNAc2-PP-dolichyl glucosyltransferase)	Q12001					
									
YOR003W	YSP3	Putative precursor of the subtilisin-like protease III; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YSP3 has a paralog, PRB1, that arose from the whole genome duplication	Subtilisin-like protease 3 (EC 3.4.21.-) (Subtilisin-like protease III)	P25036					
									
YOR004W	UTP23	Component of the small subunit processome; involved in 40S ribosomal subunit biogenesis; interacts with snR30 and is required for dissociation of snR30 from large pre-ribosomal particles; has homology to PINc domain protein Fcf1p, although the PINc domain of Utp23p is not required for function; essential protein	rRNA-processing protein UTP23 (U three protein 23) (U3 small nucleolar RNA-associated protein 23) (U3 snoRNA-associated protein 23)	Q12339					
									
YOR005C	DNL4	DNA ligase required for nonhomologous end-joining (NHEJ); forms stable heterodimer with required cofactor Lif1p, interacts with Nej1p; involved in meiosis, not essential for vegetative growth; mutations in human ortholog lead to ligase IV syndrome and Dubowitz syndrome	DNA ligase 4 (EC 6.5.1.1) (DNA ligase II) (DNA ligase IV) (Polydeoxyribonucleotide synthase [ATP] 4)	Q08387					
									
ARS1513		Autonomously Replicating Sequence							
YOR006C	TSR3	Protein required for 20S pre-rRNA processing; involved in processing of the 20S pre-rRNA at site D to generate mature 18S rRNA; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus; relative distribution to the nucleus increases upon DNA replication stress	Ribosome biogenesis protein TSR3 (20S rRNA accumulation protein 3)	Q12094					
									
YOR007C	SGT2	Glutamine-rich cytoplasmic cochaperone; serves as a scaffold bringing together Get4, Get5p, and other TRC complex members that are required to mediate posttranslational insertion of tail-anchored proteins into the ER membrane; interacts with the prion domain of Sup35p; amyloid sensor; plays a role in targeting chaperones to prion aggregates; similar to human cochaperone SGT; forms cytoplasmic foci upon DNA replication stress	Small glutamine-rich tetratricopeptide repeat-containing protein 2 (SGT/UBP) (Viral protein U-binding protein)	Q12118					
									
tR(ACG)O		Arginine tRNA (tRNA-Arg), predicted by tRNAscan-SE analysis; one of 6 nuclear tRNA genes containing the tDNA-anticodon ACG (converted to ICG in the mature tRNA), decodes CGU, CGC, and probably CGA codons into arginine, one of 19 nuclear tRNAs for arginine							
									
YORCdelta9		Ty1 LTR							
YOR008C	SLG1	Sensor-transducer of the stress-activated PKC1-MPK1 kinase pathway; involved in maintenance of cell wall integrity; required for mitophagy; involved in organization of the actin cytoskeleton; secretory pathway Wsc1p is required for the arrest of secretion response	Protein SLG1 (Cell wall integrity and stress response component 1) (Synthetic lethal with GAP protein 1)	P54867			23		
									
YOR008C-A		Putative protein of unknown function; includes a potential transmembrane domain; deletion results in slightly lengthened telomeres; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum and vacuole respectively	Uncharacterized protein YOR008C-A	Q3E7B9					
									
YOR008W-B		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YOR009W	TIR4	Cell wall mannoprotein; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins	Cell wall protein TIR4 (TIP1-related protein 4)	Q12218					
									
YOR010C	TIR2	Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog, TIR3, that arose from the whole genome duplication	Cold shock-induced protein TIR2 (Serine-rich protein 2) (TIP1-related protein 2)	P33890					
									
YOR011W	AUS1	Plasma membrane sterol transporter of the ATP-binding cassette family; required, along with Pdr11p, for uptake of exogenous sterols and their incorporation into the plasma membrane; activity is stimulated by phosphatidylserine; sterol uptake is required for anaerobic growth because sterol biosynthesis requires oxygen; AUS1 has a paralog, PDR11, that arose from the whole genome duplication	ATP-dependent permease AUS1	Q08409					
									
tT(AGU)O2		Threonine tRNA (tRNA-Thr), predicted by tRNAscan-SE analysis							
									
YORWsigma2		Ty3 LTR							
YORWdelta10		Ty1 LTR							
YOR011W-A		Putative protein of unknown function	Uncharacterized protein YOR011W-A	Q3E807					
									
YOR012W		Putative protein of unknown function	Uncharacterized protein YOR012W	Q12351					
									
YOR013W	IRC11	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized gene YOR012C; null mutant displays increased levels of spontaneous Rad52 foci							
									
YOR014W	RTS1	B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A catalytic subunits, Pph21p and Pph22p; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in the absence of Cdc55p; required for maintenance of septin ring organization during cytokinesis, for ring disassembly in G1 and for dephosphorylation of septin, Shs1p; homolog of the mammalian B' subunit of PP2A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform (PP2A, B subunit, B' delta isoform) (Protein RTS1) (Protein SCS1)	P38903					
									
YOR015W		Putative protein of unknown function; conserved among S. cerevisiae strains; YOR015W is not an essential gene	Uncharacterized protein YOR015W	Q12169					
									
YOR016C	ERP4	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; ERP4 has a paralog, ERP2, that arose from the whole genome duplication	Protein ERP4	Q12450					
									
YOR017W	PET127	Protein with a role in 5'-end processing of mitochondrial RNAs; located in the mitochondrial membrane	Putative mitochondrial translation system component PET127	P32606					
									
YOR018W	ROD1	Alpha-arrestin involved in ubiquitin-dependent endocytosis; activating dephosphorylation relays glucose signaling to transporter endocytosis; calcineurin dephosphorylation is required for Rsp5p-dependent internalization of agonist-occupied Ste2p, as part of signal desensitization; recruits Rsp5p to Ste2p via its 2 PPXY motifs; protein abundance increases in response to DNA replication stress; ROD1 has a paralog, ROG3, that arose from the whole genome duplication	Protein ROD1 (Resistance to o-dinitrobenzene protein 1)	Q02805			96		
									
YOR019W		Protein of unknown function; may interact with ribosomes, based on co-purification experiments; YOR019W has a paralog, JIP4, that arose from the whole genome duplication	Uncharacterized protein YOR019W	Q99248					
									
YOR020C	HSP10	Mitochondrial matrix co-chaperonin; inhibits the ATPase activity of Hsp60p, a mitochondrial chaperonin; involved in protein folding and sorting in the mitochondria; 10 kD heat shock protein with similarity to E. coli groES	10 kDa heat shock protein, mitochondrial (HSP10) (10 kDa chaperonin)	P38910					
									
YOR020W-A		Putative protein of unknown function; conserved in A. gossypii; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Uncharacterized protein YOR020W-A	Q3E824					
									
YOR021C	SFM1	SPOUT methyltransferase; catalyzes omega-monomethylation of Rps3p on Arg-146; not an essential gene; predicted to be involved in rRNA processing and ribosome biogenesis and in biopolymer catabolism	Protein arginine N-methyltransferase SFM1 (EC 2.1.1.-) (SPOUT family methyltransferase 1)	Q12314					
									
YOR022C	DDL1	DDHD domain-containing phospholipase A1; mitochondrial matrix enzyme with sn-1-specific activity, hydrolyzing cardiolipin, PE, PC, PG and PA; implicated in remodeling of mitochondrial phospholipids; antagonistically regulated by Aft1p and Aft2p; in humans, mutations in DDHD1 and DDHD2 genes cause specific types of hereditary spastic paraplegia, while DDL1-defective yeast share similar phenotypes such as mitochondrial dysfunction and defects in lipid metabolism	Probable phospholipase YOR022C, mitochondrial (EC 3.1.1.-)	Q12204					
									
YOR023C	AHC1	Subunit of the Ada histone acetyltransferase complex; required for structural integrity of the complex; Ahc2p and Ahc1p are unique to the ADA complex and not shared with the related SAGA and SLIK complexes; Ahc2p may tether Ahc1p to the complex	Protein AHC1 (ADA HAT complex component 1)	Q12433			76		
									
YOR024W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YOR025W	HST3	Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism	NAD-dependent histone deacetylase HST3 (EC 3.5.1.-) (Homologous to SIR2 protein 3) (Regulatory protein SIR2 homolog 3)	P53687			68		
									
YOR026W	BUB3	Kinetochore checkpoint WD40 repeat protein; localizes to kinetochores during prophase and metaphase, delays anaphase in the presence of unattached kinetochores; forms complexes with Mad1p-Bub1p and with Cdc20p, binds Mad2p and Mad3p; functions at kinetochore to activate APC/C-Cdc20p for normal mitotic progression	Cell cycle arrest protein BUB3	P26449					
									
YOR027W	STI1	Hsp90 cochaperone; regulates spatial organization of amyloid-like proteins in the cytosol, thereby buffering the proteotoxicity caused by amyloid-like proteins; interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop	Heat shock protein STI1	P15705					
									
YOR028C	CIN5	Basic leucine zipper (bZIP) transcription factor of the yAP-1 family; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; mediates pleiotropic drug resistance and salt tolerance; nuclearly localized under oxidative stress and sequestered in the cytoplasm by Lot6p under reducing conditions; CIN5 has a paralog, YAP6, that arose from the whole genome duplication	AP-1-like transcription factor YAP4 (Chromosome instability protein 5) (Transcription activator CIN5)	P40917	TRUE				
									
YOR029W		Putative protein of unknown function; conserved among S. cerevisiae strains; YOR029W is not an essential gene	Uncharacterized protein YOR029W	Q12243					
									
YOR030W	DFG16	Probable multiple transmembrane protein; involved in diploid invasive and pseudohyphal growth upon nitrogen starvation; is glycosylated and phosphorylated; interacts with Rim21p and Rim9p in the plasma membrane to form a pH-sensing complex in the Rim101 pathway and is required to maintain Rim21p levels; required for accumulation of processed Rim101p	Protein DFG16 (Extracellular mutant protein 41) (Zinc-regulated gene 11 protein)	Q99234					
									
YOR031W	CRS5	Copper-binding metallothionein; required for wild-type copper resistance							
									
YOR032C	HMS1	bHLH protein with similarity to myc-family transcription factors; overexpression confers hyperfilamentous growth and suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant	Probable transcription factor HMS1 (High-copy MEP suppressor protein 1)	Q12398	TRUE				
									
YOR032W-A		Protein of unknown function; SWAT-GFP and seamless-GFP fusion proteins localize to the endoplasmic reticulum; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching	Uncharacterized protein YOR032W-A	Q8TGS1					
									
YOR033C	EXO1	5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair, MMS2 error-free branch of the post replication (PRR) pathway and DNA mismatch repair; role in telomere maintenance; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication	Exodeoxyribonuclease 1 (EC 3.1.-.-) (Exodeoxyribonuclease I) (EXO I) (Exonuclease I) (Protein DHS1)	P39875			13		
									
YOR034C	AKR2	Ankyrin repeat-containing protein; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; possibly involved in constitutive endocytosis of Ste3p; AKR2 has a paralog, AKR1, that arose from the whole genome duplication	Probable palmitoyltransferase AKR2 (EC 2.3.1.225) (Ankyrin repeat-containing protein AKR2)	Q12013					
									
YOR034C-A		Putative protein of unknown function; identified by expression profiling and mass spectrometry	Uncharacterized membrane protein YOR034C-A	Q3E735					
									
YOR035C	SHE4	Protein containing a UCS (UNC-45/CRO1/SHE4) domain; binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization	SWI5-dependent HO expression protein 4	P51534					
									
YOR036W	PEP12	Target membrane receptor (t-SNARE); for vesicular intermediates traveling between the Golgi apparatus and the vacuole; controls entry of biosynthetic, endocytic, and retrograde traffic into the prevacuolar compartment; syntaxin	Syntaxin PEP12 (Carboxypeptidase Y-deficient protein 12) (Vacuolar protein sorting-associated protein 6) (Vacuolar protein-targeting protein 13)	P32854					
									
YOR037W	CYC2	Mitochondrial peripheral inner membrane protein; contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p)	Cytochrome c mitochondrial import factor CYC2 (EC 1.-.-.-) (Cytochrome c assembly flavoprotein CYC2)	P38909					
									
YOR038C	HIR2	Subunit of HIR nucleosome assembly complex; involved in regulation of histone gene transcription; recruits Swi-Snf complexes to histone gene promoters; promotes heterochromatic gene silencing with Asf1p; relocalizes to the cytosol in response to hypoxia	Protein HIR2 (Histone transcription regulator 2)	P32480					
									
YOR039W	CKB2	Beta' regulatory subunit of casein kinase 2 (CK2); a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase	Casein kinase II subunit beta' (CK II beta')	P38930					
									
YOR040W	GLO4	Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication	Hydroxyacylglutathione hydrolase, mitochondrial (EC 3.1.2.6) (Glyoxalase II) (Glx II)	Q12320					
									
snR9	SNR9	H/ACA box small nucleolar RNA (snoRNA); guides pseudouridylation of large subunit (LSU) rRNA at position U2340 and U2345							
									
YOR042W	CUE5	Ubiquitin-binding protein; functions as ubiquitin-Atg8p adaptor in ubiquitin-dependent autophagy; serves as proteaphagy receptor for inactivated 26S proteasomes; contains CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; CUE5 has a paralog, DON1, that arose from the whole genome duplication; human TOLLIP is a functional CUE-domain homolog, can complement yeast null mutant, rescuing hypersensitivity of cue5 null mutant cells to Htt-96Q	Ubiquitin-binding protein CUE5 (Coupling of ubiquitin conjugation to ER degradation protein 5)	Q08412					
									
YOR041C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 85% of ORF overlaps the uncharacterized gene CUE5; deletion in cyr1 mutant results in loss of stress resistance							
									
snR62	SNR62	C/D box small nucleolar RNA (snoRNA); guides 2'-O-methylation of large subunit (LSU) rRNA at position U1888							
									
YOR043W	WHI2	Protein required for full activation of the general stress response; required with binding partner Psr1p, possibly through Msn2p dephosphorylation; regulates growth during the diauxic shift; negative regulator of G1 cyclin expression; SWAT-GFP, seamless-GFP and mCherry fusion proteins localize to the cell periphery	Growth regulation protein	P12611					
									
YOR044W	IRC23	Protein of unknown function; green fluorescent protein (GFP)-fusion localizes to the ER; null mutant displays increased levels of spontaneous Rad52p foci; IRC23 has a paralog, BSC2, that arose from the whole genome duplication	Increased recombination centers protein 23	Q08416					
									
YOR045W	TOM6	Component of the TOM (translocase of outer membrane) complex; responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex	Mitochondrial import receptor subunit TOM6 (Mitochondrial import site protein ISP6) (Translocase of outer membrane 6 kDa subunit)	P33448					
									
YOR046C	DBP5	Cytoplasmic ATP-dependent RNA helicase of the DEAD-box family; involved in mRNA export from the nucleus, remodeling messenger ribonucleoprotein particles (mRNPs), with ATPase activity stimulated by Gle1p, IP6 and Nup159p; involved in translation termination along with Sup45p (eRF1); role in the cellular response to heat stress	ATP-dependent RNA helicase DBP5 (EC 3.6.4.13) (DEAD box protein 5) (Helicase CA5/6) (Ribonucleic acid-trafficking protein 8)	P20449					
									
YOR047C	STD1	Protein involved in control of glucose-regulated gene expression; interacts with kinase Snf1p, glucose sensors Snf3p and Rgt2p, TATA-binding Spt15p; regulator of transcription factor Rgt1p; interactions with Pma1p appear to propagate [GAR+]; STD1 has a paralog, MTH1, that arose from the whole genome duplication	Protein STD1 (Glucose repression modulator MSN3) (Suppressor of Tbp deletion protein 1) (Suppressor of fluoride sensitivity 3)	Q02794					
									
YOR048C	RAT1	Nuclear 5' to 3' single-stranded RNA exonuclease; involved in RNA metabolism, including rRNA and snoRNA processing, as well as poly (A+) dependent and independent mRNA transcription termination; required for cotranscriptional pre-rRNA cleavage; displaces Cdk1p from elongating transcripts, especially as RNAPII reaches the poly(A) site, negatively regulates phosphorylation of the CTD of RNAPII, and inhibits RNAPII transcriptional elongation	5'-3' exoribonuclease 2 (EC 3.1.13.-) (Ribonucleic acid-trafficking protein 1) (p116)	Q02792					
									
YOR049C	RSB1	Putative sphingoid long-chain base (LCB) efflux transporter; integral membrane transporter that localizes to the plasma membrane and may transport long chain bases (LCBs) from the cytoplasmic side toward the extracytoplasmic side of the membrane; role in glycerophospholipid translocation; suppressor of the sphingoid LCB sensitivity of an LCB-lyase mutation	Sphingoid long-chain base transporter RSB1	Q08417			82		
									
YOR050C		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant is viable							
									
YOR051C	ETT1	Nuclear protein that inhibits replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts; deletion increases stop codon readthrough	Enhancer of translation termination 1	Q08421					
									
YOR052C	TMC1	AN1-type zinc finger protein, effector of proteotoxic stress response; stress-inducible transcriptional target of Rpn4p; induced by nitrogen limitation, weak acid, misfolded proteins; short-lived protein, degraded by proteasome; may protect cells from trivalent metalloid induced proteotoxicity; contains PACE promoter element; ortholog of human AIRAP, which stimulates proteasome activity in response to arsenic; protein abundance increases under DNA replication stress	AN1-type zinc finger protein TMC1 (Trivalent metalloid-sensitive Cuz1-related protein 1)	Q08422					
									
YOR053W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VHS3/YOR054C							
									
YOR055W		Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data							
									
YOR054C	VHS3	Negative regulatory subunit of protein phosphatase 1 Ppz1p; involved in coenzyme A biosynthesis; subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex and the CoA-Synthesizing Protein Complex (CoA-SPC: Cab2p, Cab3p, Cab4p, Cab5p, Sis2p and Vhs3p)	Phosphopantothenoylcysteine decarboxylase subunit VHS3 (Viable in a HAL3 SIT4 background protein 3)	Q08438					
									
YOR056C	NOB1	Protein involved in proteasomal and 40S ribosomal subunit biogenesis; required for cleavage of the 20S pre-rRNA to generate the mature 18S rRNA; cleavage is activated by Fun12p, a GTPase and translation initiation factor; relocalizes from nucleus to nucleolus upon DNA replication stress	20S-pre-rRNA D-site endonuclease NOB1 (EC 3.1.-.-) (NIN1-binding protein) (Pre-rRNA-processing endonuclease NOB1)	Q08444			70		
									
YOR057W	SGT1	Cochaperone protein; regulates activity of adenylyl cyclase Cyr1p; involved in kinetochore complex assembly; associates with the SCF (Skp1p/Cdc53p/F box protein) ubiquitin ligase complex; acts as a linker between Skp1p and HSP90 complexes; protein abundance increases in response to DNA replication stress	Protein SGT1 (Suppressor of G2 allele of SKP1)	Q08446					
									
YOR058C	ASE1	Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress	Anaphase spindle elongation protein	P50275			69		
									
YORCdelta11		Ty1 LTR							
tK(UUU)O		Lysine tRNA (tRNA-Lys), predicted by tRNAscan-SE analysis; thiolation of uridine at wobble position (34) requires Ncs6p							
									
									
									
YOR059C	LPL1	Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress	Putative lipase YOR059C (EC 3.1.-.-)	Q08448					
									
YOR060C	SLD7	Protein with a role in chromosomal DNA replication; interacts with Sld3p and reduces its affinity for Cdc45p; deletion mutant has aberrant mitochondria	Mitochondrial morphogenesis protein SLD7 (Synthetic lethality with DPB11-24 mutation protein 7)	Q08457					
									
YOR061W	CKA2	Alpha' catalytic subunit of casein kinase 2 (CK2); CK2 is a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases; protein abundance increases in response to DNA replication stress; regulates Fkh1p-mediated donor preference during mating-type switching	Casein kinase II subunit alpha' (CK II) (EC 2.7.11.1)	P19454		TRUE			
									
YOR062C		Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YOR062C has a paralog, YKR075C, that arose from the whole genome duplication	Uncharacterized protein YOR062C	P36025					
									
YOR063W	RPL3	Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; plays an important role in function of eIF5B in stimulating 3' end processing of 18S rRNA in context of 80S ribosomes that have not yet engaged in translation; involved in replication and maintenance of killer double stranded RNA virus	60S ribosomal protein L3 (Large ribosomal subunit protein uL3) (Maintenance of killer protein 8) (RP1) (Trichodermin resistance protein) (YL1)	P14126					
									
YOR064C	YNG1	Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3; shares significant sequence identity with the human candidate tumor suppressor p33-ING1 in C-terminal region	Protein YNG1 (ING1 homolog 1)	Q08465			70		
									
