orf_id	gene_names	uniprot_acc	broad_gene_name	uniprot_gene_name	fungidb_gene_name	blast2go_annotation
CNAG_04415			oxidoreductase	Oxidoreductase	oxidoreductase	DKGA_ECOL|I2,5-diketo-D-gluconic acid reductase A OS=Escherichia coli (strain K12) OX=83333 GN=dkgA PE=1 SV=3
CNAG_04416			major facilitator superfamily transporter	Major facilitator superfamily transporter	major facilitator superfamily transporter	ROQT_PENRW|Efflux pump roqT OS=Penicillium rubens (strain ATCC 28089 / DSM 1075 / NRRL 1951 / Wisconsin 54-1255) OX=500485 GN=roqT PE=1 SV=1
CNAG_04417			alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase	Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase	alpha-ketoglutarate-dependent 2,4- dichlorophenoxyacetate dioxygenase	TFDA_BURSR|Alpha-ketoglutarate-dependent 2,4-dichlorophenoxyacetate dioxygenase OS=Burkholderia sp. (strain RASC) OX=69003 GN=tfdA PE=3 SV=1
CNAG_04432			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04433			CMGC/DYRK/DYRK2 protein kinase	CMGC/DYRK/DYRK2 protein kinase	CMGC/DYRK/DYRK2 protein kinase	POM1_SCHPODYR|K-family kinase pom1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pom1 PE=1 SV=1
CNAG_04434			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04436			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04437			nicotinamide riboside kinase	Nicotinamide riboside kinase	nicotinamide riboside kinase, nicotinamide riboside kinase, variant	NRK2_MOUSE|Nicotinamide riboside kinase 2 OS=Mus musculus OX=10090 GN=Nmrk2 PE=1 SV=1
CNAG_04437			nicotinamide riboside kinase	Nicotinamide riboside kinase	nicotinamide riboside kinase, nicotinamide riboside kinase, variant	NRK1_SCHPO|Nicotinamide riboside kinase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=nrk1 PE=3 SV=1
CNAG_04438			hypothetical protein	Uncharacterized protein	hypothetical protein	MCMBP_ARATH|Mini-chromosome maintenance complex-binding protein OS=Arabidopsis thaliana OX=3702 GN=ETG1 PE=1 SV=1
CNAG_04439			V-type proton ATPase subunit B	V-type proton ATPase subunit B	V-type proton ATPase subunit B	VATB_CANTR|V-type proton ATPase subunit B OS=Candida tropicalis OX=5482 GN=VMA2 PE=3 SV=1
CNAG_04440			thiamine pyrophosphokinase	Thiamine pyrophosphokinase (EC 2.7.6.2)	thiamine pyrophosphokinase, thiamine pyrophosphokinase, variant	TPK3_ORYSJ|Thiamine pyrophosphokinase 3 OS=Oryza sativa subsp. japonica OX=39947 GN=TPK3 PE=2 SV=1
CNAG_04441			polyadenylate-binding protein, cytoplasmic and nuclear	Polyadenylate-binding protein (PABP)	polyadenylate-binding protein, cytoplasmic and nuclear	PABP_CRYNB|Polyadenylate-binding protein, cytoplasmic and nuclear OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=PAB1 PE=3 SV=1
CNAG_04442			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_04443			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04444			splicing factor 3B subunit 1	Splicing factor 3B subunit 1	splicing factor 3B subunit 1	SF3B1_HUMAN|Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3
CNAG_04445			small subunit ribosomal protein S7e	40S ribosomal protein S7	small subunit ribosomal protein S7e	RS7_BOVIN40|S ribosomal protein S7 OS=Bos taurus OX=9913 GN=RPS7 PE=2 SV=1
CNAG_04446			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04447			hypothetical protein	Uncharacterized protein	hypothetical protein	NDUF5_HUMAN|Arginine-hydroxylase NDUFAF5, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFAF5 PE=1 SV=1
CNAG_04448			large subunit ribosomal protein L19e	Ribosomal protein L19	large subunit ribosomal protein L19e	RL19A_YEAST60|S ribosomal protein L19-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL19A PE=1 SV=1
CNAG_04449			alpha-1,6-mannosyltransferase	Alpha-1,6-mannosyltransferase	alpha-1,6-mannosyltransferase	
CNAG_04450			chromodomain-helicase-DNA-binding protein 1	Chromodomain-helicase-DNA-binding protein 1	chromodomain-helicase-DNA-binding protein 1	HRP3_SCHPO|Chromodomain helicase hrp3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=hrp3 PE=1 SV=1
CNAG_04451			ribonuclease P/MRP protein subunit POP1	Ribonuclease P/MRP protein subunit POP1	ribonuclease P/MRP protein subunit POP1	POPI_SCHPO|Ribonucleases P/MRP protein subunit pop1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pop1 PE=3 SV=1
CNAG_04452			small subunit ribosomal protein S18	Small subunit ribosomal protein S18	small subunit ribosomal protein S18	
CNAG_04453	IPC1		inositolphosphorylceramide synthase	Inositolphosphorylceramide synthase	inositolphosphorylceramide synthase	AUR1_CANAL|Inositol phosphorylceramide synthase OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=AUR1 PE=1 SV=2
CNAG_04454			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04455			peroxisomal membrane protein 4	Peroxisomal membrane protein 4	peroxisomal membrane protein 4	PXMP4_BOVIN|Peroxisomal membrane protein 4 OS=Bos taurus OX=9913 GN=PXMP4 PE=2 SV=1
CNAG_04456			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04457			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04459			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04460			RNA polymerase II transcription factor	RNA polymerase II transcription factor	RNA polymerase II transcription factor	
CNAG_04461	HFM1		ATP-dependent DNA helicase HFM1/MER3	ATP-dependent DNA helicase HFM1/MER3	ATP-dependent DNA helicase HFM1/MER3	HFM1_YEASTAT|P-dependent DNA helicase MER3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HFM1 PE=1 SV=3
CNAG_04462			F-box protein 9	F-box protein 9	F-box protein 9	HRT3_YEAST|F-box protein HRT3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HRT3 PE=1 SV=1
CNAG_04463			hypothetical protein	Mediator of RNA polymerase II transcription subunit 10 (Mediator complex subunit 10)	hypothetical protein	
CNAG_04465			small nuclear ribonucleoprotein	Small nuclear ribonucleoprotein	small nuclear ribonucleoprotein, small nuclear ribonucleoprotein, variant	LUC7_SCHPO|U1 snRNP-associated protein usp106 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=usp106 PE=1 SV=1
CNAG_04466			hypothetical protein	Uncharacterized protein	hypothetical protein	SELO_SCHPO|Protein adenylyltransferase SelO, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC20G4.05c PE=3 SV=1
CNAG_04467			succinate-semialdehyde dehydrogenase (NADP )	Succinate-semialdehyde dehydrogenase (EC 1.2.1.16)	succinate-semialdehyde dehydrogenase (NADP)	DAVD_PSEPK|Glutarate-semialdehyde dehydrogenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=davD PE=3 SV=1
CNAG_04468			tartrate dehydrogenase	Tartrate dehydrogenase	Tartrate dehydrogenase, tartrate dehydrogenase, variant	TTUC4_AGRVI|Probable tartrate dehydrogenase/decarboxylase TtuC' OS=Agrobacterium vitis OX=373 GN=ttuC' PE=2 SV=1
CNAG_04469			4-aminobutyrate transaminase	4-aminobutyrate transaminase	4-aminobutyrate transaminase	DAVT_PSEP|K5-aminovalerate aminotransferase DavT OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=davT PE=1 SV=1
CNAG_04470			haloacid dehalogenase, type II	Haloacid dehalogenase, type II	Haloacid dehalogenase, type II	
CNAG_04471			FAD dependent oxidoreductase	FAD dependent oxidoreductase	FAD dependent oxidoreductase	GLYOX_GEOKA|Glycine oxidase OS=Geobacillus kaustophilus (strain HTA426) OX=235909 GN=thiO PE=1 SV=1
CNAG_04472			membrane protein	Membrane protein	membrane protein	YLX5_SCHPOUN|C93-like protein C922.05c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC922.05c PE=3 SV=1
CNAG_04473			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04474			monocarboxylic acid transporter	Monocarboxylic acid transporter	monocarboxylic acid transporter	
CNAG_04475			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant 1, hypothetical protein, variant 2	
CNAG_04476			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_04478			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04479			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04484			hypothetical protein	Uncharacterized protein	hypothetical protein	USO1_DROME|General vesicular transport factor p115 OS=Drosophila melanogaster OX=7227 GN=p115 PE=1 SV=2
CNAG_04485			long-chain acyl-CoA synthetase	Long-chain acyl-CoA synthetase	long-chain acyl-CoA synthetase	LCF2_SCHPO|Long-chain-fatty-acid--CoA ligase 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=lcf2 PE=3 SV=1
CNAG_04486			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04487			transcription regulator	Transcription regulator	transcription regulator	MET14_XENLA|N6-adenosine-methyltransferase non-catalytic subunit OS=Xenopus laevis OX=8355 GN=mettl14 PE=2 SV=1
CNAG_04488			3-ketoacyl-CoA reductase	Very-long-chain 3-oxoacyl-CoA reductase (EC 1.1.1.330) (3-ketoacyl-CoA reductase) (3-ketoreductase) (KAR) (Microsomal beta-keto-reductase)	3-ketoacyl-CoA reductase	MKAR_CRYNB|Very-long-chain 3-oxoacyl-CoA reductase OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=CNBH0660 PE=3 SV=1
CNAG_04492			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04493			ubiquitin carboxyl-terminal hydrolase 48	Ubiquitin carboxyl-terminal hydrolase 48	ubiquitin carboxyl-terminal hydrolase 48, ubiquitin carboxyl-terminal hydrolase 48, variant	UBP48_HUMAN|Ubiquitin carboxyl-terminal hydrolase 48 OS=Homo sapiens OX=9606 GN=USP48 PE=1 SV=1
CNAG_04494			U1 small nuclear ribonucleoprotein C	U1 small nuclear ribonucleoprotein C (U1 snRNP C) (U1-C) (U1C)	U1 small nuclear ribonucleoprotein C	RU1C_CRYNJ|U1 small nuclear ribonucleoprotein C OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=CNI00630 PE=3 SV=1
CNAG_04495			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04496			rab GTPase activator	Rab GTPase activator	rab GTPase activator	
CNAG_04497			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04498			alpha-1,2-mannosidase	Alpha-1,2-mannosidase	alpha-1,2-mannosidase	
CNAG_04499			clathrin light chain	Clathrin light chain	clathrin light chain	CLC1_SCHPO|Clathrin light chain OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=clc1 PE=1 SV=1
CNAG_04500			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04501	TRP1	P27710	anthranilate synthase/indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	Multifunctional tryptophan biosynthesis protein [Includes: Anthranilate synthase component 2 (AS) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48); N-(5'-phosphoribosyl)anthranilate isomerase (PRAI) (EC 5.3.1.24)]	anthranilate synthase/indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase	TRPG_CRYNH|Multifunctional tryptophan biosynthesis protein OS=Cryptococcus neoformans var. grubii serotype A (strain H99 / ATCC 208821 / CBS 10515 / FGSC 9487) OX=235443 GN=TRP1 PE=3 SV=2
CNAG_04502			hypothetical protein	Peptide hydrolase (EC 3.4.-.-)	hypothetical protein	ERMP1_SCHPO|Putative endoplasmic reticulum metallopeptidase 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=erm1 PE=3 SV=1
CNAG_04503			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04504			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_04505	GPA1		guanine nucleotide-binding protein subunit alpha	Guanine nucleotide-binding protein subunit alpha	guanine nucleotide-binding protein subunit alpha	GPA1_CRYNB|Guanine nucleotide-binding protein subunit alpha OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=GPA1 PE=3 SV=1
CNAG_04506			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04507			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04508			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04509			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04510	VPS4		vacuolar protein-sorting-associated protein 4	Vacuolar protein-sorting-associated protein 4	vacuolar protein-sorting-associated protein 4	VPS4_YEAST|Vacuolar protein sorting-associated protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=VPS4 PE=1 SV=1
CNAG_04511			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04512			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04513			DNA-directed RNA polymerase III subunit RPC2	DNA-directed RNA polymerase subunit beta (EC 2.7.7.6)	DNA-directed RNA polymerase III subunit RPC2	RPC2_SCHPODN|A-directed RNA polymerase III subunit RPC2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rpc2 PE=2 SV=1
CNAG_04514	MPK1		CMGC/MAPK protein kinase	Mitogen-activated protein kinase (EC 2.7.11.24)	CMGC/MAPK protein kinase	SLT2_YEAST|Mitogen-activated protein kinase SLT2/MPK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SLT2 PE=1 SV=2
CNAG_04515			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_04516			WSC domain-containing protein	WSC domain-containing protein	WSC domain-containing protein	
CNAG_04517			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04518			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04519			D-serine dehydratase	D-serine dehydratase	D-serine dehydratase	DSD1_SCHPO|D-serine dehydratase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC1039.06 PE=3 SV=1
CNAG_04520			D-aminoacylase	D-aminoacylase	D-aminoacylase	NDAD_ALCXX|D-aminoacylase OS=Alcaligenes xylosoxydans xylosoxydans OX=85698 GN=dan PE=1 SV=3
CNAG_04521			oxidoreductase	Oxidoreductase	oxidoreductase	FER8_USTMA|Fe-regulated protein 8 OS=Ustilago maydis (strain 521 / FGSC 9021) OX=237631 GN=fer8 PE=2 SV=1
CNAG_04522			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04523			glyceraldehyde-3-phosphate dehydrogenase, type I	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)	glyceraldehyde-3-phosphate dehydrogenase, type I	G3P3_CAEBR|Glyceraldehyde-3-phosphate dehydrogenase 3.1 OS=Caenorhabditis briggsae OX=6238 GN=gpd-3.1 PE=3 SV=1
CNAG_04524			zinc metalloprotease	Zinc metalloprotease	zinc metalloprotease	ADMB_ASPFU|Disintegrin and metalloproteinase domain-containing protein B OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=ADM-B PE=3 SV=2
CNAG_04525			glycosylphosphatidylinositol transamidase	Glycosylphosphatidylinositol transamidase	glycosylphosphatidylinositol transamidase	GAA1_YEASTGP|I transamidase component GAA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GAA1 PE=1 SV=1
CNAG_04526			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04527			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04528			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04529			cytochrome c oxidase-assembly factor COX16	Cytochrome c oxidase-assembly factor COX16	cytochrome c oxidase-assembly factor COX16	COX16_CRYNB|Cytochrome c oxidase assembly protein COX16, mitochondrial OS=Cryptococcus neoformans var. neoformans serotype D (strain B-3501A) OX=283643 GN=COX16 PE=3 SV=1
CNAG_04530			DNA-binding protein	DNA-binding protein	DNA-binding protein	UBXN1_CAEELUB|X domain-containing protein 1 OS=Caenorhabditis elegans OX=6239 GN=ubxn-1 PE=1 SV=1
CNAG_04531			enoyl-CoA hydratase	Enoyl-CoA hydratase	Enoyl-CoA hydratase	ECHH_RHIME|Probable enoyl-CoA hydratase OS=Rhizobium meliloti (strain 1021) OX=266834 GN=fadB1 PE=3 SV=2
CNAG_04534			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_04535			tartrate dehydrogenase	Tartrate dehydrogenase	Tartrate dehydrogenase	TTUC4_AGRVI|Probable tartrate dehydrogenase/decarboxylase TtuC' OS=Agrobacterium vitis OX=373 GN=ttuC' PE=2 SV=1
CNAG_04537			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04538			ubiquitin-like modifier-activating enzyme ATG7	Ubiquitin-like modifier-activating enzyme ATG7	ubiquitin-like modifier-activating enzyme ATG7	ATG7_CRYNJ|Ubiquitin-like modifier-activating enzyme ATG7 OS=Cryptococcus neoformans var. neoformans serotype D (strain JEC21 / ATCC MYA-565) OX=214684 GN=ATG7 PE=3 SV=1
CNAG_04539			mitochondrial protein required for respiration	SURF1-like protein	mitochondrial protein required for respiration	SURF1_CAEBRSUR|F1-like protein OS=Caenorhabditis briggsae OX=6238 GN=sft-1 PE=3 SV=1
CNAG_04540			translocation protein SEC62	Translocation protein SEC62	translocation protein Sec62	SEC62_YARLI|Translocation protein SEC62 OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=SEC62 PE=3 SV=2
CNAG_04541			cleavage stimulation factor subunit 2	Cleavage stimulation factor subunit 2	cleavage stimulation factor subunit 2	CSTF2_MOUSE|Cleavage stimulation factor subunit 2 OS=Mus musculus OX=10090 GN=Cstf2 PE=1 SV=2
CNAG_04544			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04545			CTD kinase subunit gamma	CTD kinase subunit gamma	CTD kinase subunit gamma, CTD kinase subunit gamma, variant	CTK3_SCHPOCT|D kinase subunit gamma OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=ctk3 PE=1 SV=1
CNAG_04546	LPI10		multidrug transporter	Multidrug transporter	multidrug transporter	MDRA_ASPFU|Major facilitator superfamily multidrug transporter mdrA OS=Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100) OX=330879 GN=mdrA PE=2 SV=1
CNAG_04548			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04551			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04552	ITR1A		hypothetical protein	Uncharacterized protein	putative myo-inositol transporter	ITR2_SCHPO|Myo-inositol transporter 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=itr2 PE=2 SV=1
CNAG_04553			hypothetical protein	Uncharacterized protein	hypothetical protein	Y1144_MYCTO|Uncharacterized oxidoreductase MT1177 OS=Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh) OX=83331 GN=MT1177 PE=3 SV=1
CNAG_04556			translocation protein SEC62	Translocation protein SEC62	translocation protein Sec62	SEC62_YARLI|Translocation protein SEC62 OS=Yarrowia lipolytica (strain CLIB 122 / E 150) OX=284591 GN=SEC62 PE=3 SV=2
CNAG_04557			cleavage stimulation factor subunit 2	Cleavage stimulation factor subunit 2	cleavage stimulation factor subunit 2	
CNAG_04558			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04561			monooxygenase	Monooxygenase	monooxygenase	BVMO_PSEPK|Baeyer-Villiger monooxygenase OS=Pseudomonas putida (strain ATCC 47054 / DSM 6125 / NCIMB 11950 / KT2440) OX=160488 GN=PP_2805 PE=1 SV=1
CNAG_04562			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04563			fungal specific transcription factor	Fungal specific transcription factor	fungal specific transcription factor	
CNAG_04564			phytanoyl-CoA dioxygenase family protein	Phytanoyl-CoA dioxygenase	phytanoyl-CoA dioxygenase	KANJ_STRKN|Kanamycin B dioxygenase OS=Streptomyces kanamyceticus OX=1967 GN=kanJ PE=1 SV=1
CNAG_04565			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04566			beta-flanking protein	Beta-flanking protein	beta-flanking protein	
CNAG_04567			drug transporter	Drug transporter	drug transporter	NAG4_CANAL|Major facilitator superfamily multidrug transporter NAG4 OS=Candida albicans (strain SC5314 / ATCC MYA-2876) OX=237561 GN=NAG4 PE=2 SV=1
CNAG_04570			hypothetical protein	Uncharacterized protein	hypothetical protein	LARP1_MOUSE|La-related protein 1 OS=Mus musculus OX=10090 GN=Larp1 PE=1 SV=3
CNAG_04571			dimethyladenosine transferase	rRNA adenine N(6)-methyltransferase (EC 2.1.1.-)	dimethyladenosine transferase	DIM1_SCHPO|Dimethyladenosine transferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=dim1 PE=3 SV=1
CNAG_04574			dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	Dolichol phosphate-mannose biosynthesis regulatory protein	dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit	
CNAG_04575			G2/mitotic-specific cyclin 1/2	G2/mitotic-specific cyclin 1/2	G2/mitotic-specific cyclin 1/2	CG23_SCHPO|G2/mitotic-specific cyclin cdc13 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cdc13 PE=1 SV=1
CNAG_04576			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04577			nucleoside-diphosphate kinase	Nucleoside-diphosphate kinase	Nucleoside-diphosphate kinase	NDKB_BOVIN|Nucleoside diphosphate kinase B OS=Bos taurus OX=9913 GN=NME2 PE=1 SV=1
CNAG_04579			alpha-1,2-mannosyltransferase	Alpha-1,2-mannosyltransferase	Alpha-1,2-mannosyltransferase	ALG11_SCHPOGD|P-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=alg11 PE=3 SV=1
CNAG_04581			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04582			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04583			hypothetical protein	Uncharacterized protein	hypothetical protein	ITC1_YEAST|Imitation switch two complex protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ITC1 PE=1 SV=1
CNAG_04584			poly(rC)-binding protein 2/3/4	Poly(RC)-binding protein 2/3/4	poly(rC)-binding protein 2/3/4	PCBP3_HUMAN|Poly(rC)-binding protein 3 OS=Homo sapiens OX=9606 GN=PCBP3 PE=2 SV=2
CNAG_04585			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04587			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_04588			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	ERT1_LACBS|Transcription activator of gluconeogenesis ERT1 OS=Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) OX=486041 GN=ERT1 PE=3 SV=1
CNAG_04589			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04590			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04591			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04592			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04593			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04594			hypothetical protein	Uncharacterized protein	hypothetical protein	PRO1_NEUCR|Transcriptional regulatory protein pro1 OS=Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987) OX=367110 GN=adv-1 PE=2 SV=1
CNAG_04595			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04596			prolyl endopeptidase	Prolyl endopeptidase	prolyl endopeptidase, prolyl endopeptidase, variant	PPCE_MOUSE|Prolyl endopeptidase OS=Mus musculus OX=10090 GN=Prep PE=1 SV=1
CNAG_04597			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04598			hypothetical protein	Uncharacterized protein	hypothetical protein, hypothetical protein, variant	
CNAG_04599			3-methyl-2-oxobutanoate hydroxymethyltransferase	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	3-methyl-2-oxobutanoate hydroxymethyltransferase	PANB_CARH|Z3-methyl-2-oxobutanoate hydroxymethyltransferase OS=Carboxydothermus hydrogenoformans (strain ATCC BAA-161 / DSM 6008 / Z-2901) OX=246194 GN=panB PE=3 SV=1
CNAG_04600			DNA topoisomerase III	DNA topoisomerase (EC 5.99.1.2)	DNA topoisomerase III	TOP3A_MOUSEDN|A topoisomerase 3-alpha OS=Mus musculus OX=10090 GN=Top3a PE=2 SV=1
CNAG_04601			glycine hydroxymethyltransferase	Serine hydroxymethyltransferase (EC 2.1.2.1)	glycine hydroxymethyltransferase	GLYC2_DICDI|Serine hydroxymethyltransferase 2 OS=Dictyostelium discoideum OX=44689 GN=shmt2 PE=3 SV=1
CNAG_04602			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04603			replication fork protection complex subunit Csm3/Swi3	Replication fork protection complex subunit Csm3/Swi3	replication fork protection complex subunit Csm3/Swi3	SWI3_SCHPO|Swi1-interacting protein swi3 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=swi3 PE=1 SV=2
CNAG_04604			tryptophan-tRNA ligase	Tryptophan-tRNA ligase	tryptophan-tRNA ligase	SYWC_SCHPO|Tryptophan--tRNA ligase, cytoplasmic OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=wrs1 PE=1 SV=1
CNAG_04605	ERG26		sterol-4alpha-carboxylate 3-dehydrogenase (decarboxylating)	Sterol-4alpha-carboxylate 3-dehydrogenase (Decarboxylating)	C-3 sterol dehydrogenase	ERG26_YEAST|Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ERG26 PE=1 SV=1
CNAG_04606			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04607			hypothetical protein	Uncharacterized protein	hypothetical protein	
CNAG_04608			signal peptidase I	Signal peptidase complex catalytic subunit SEC11 (EC 3.4.21.89)	signal peptidase I	SEC11_LACBS|Signal peptidase complex catalytic subunit SEC11 OS=Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686) OX=486041 GN=SEC11 PE=3 SV=1
CNAG_04609	AGO1		argonaute	Argonaute	argonaute	AGO2_RABIT|Protein argonaute-2 (Fragment) OS=Oryctolagus cuniculus OX=9986 GN=AGO2 PE=1 SV=2
